filename,wellID,counts
data/assayplate_3765/AssayPlate_Corning_3765_M01_T0001F001L01A01Z01C01.tif,M01,1016
data/assayplate_3765/AssayPlate_Corning_3765_L23_T0001F001L01A01Z01C01.tif,L23,648
data/assayplate_3765/AssayPlate_Corning_3765_F21_T0001F001L01A01Z01C01.tif,F21,202
data/assayplate_3765/AssayPlate_Corning_3765_A21_T0001F001L01A01Z01C01.tif,A21,946
data/assayplate_3765/AssayPlate_Corning_3765_O19_T0001F001L01A01Z01C01.tif,O19,431
data/assayplate_3765/AssayPlate_Corning_3765_F14_T0001F001L01A01Z01C01.tif,F14,886
data/assayplate_3765/AssayPlate_Corning_3765_H01_T0001F001L01A01Z01C01.tif,H01,1081
data/assayplate_3765/AssayPlate_Corning_3765_M10_T0001F001L01A01Z01C01.tif,M10,731
data/assayplate_3765/AssayPlate_Corning_3765_N03_T0001F001L01A01Z01C01.tif,N03,627
data/assayplate_3765/AssayPlate_Corning_3765_A22_T0001F001L01A01Z01C01.tif,A22,810
data/assayplate_3765/AssayPlate_Corning_3765_M04_T0001F001L01A01Z01C01.tif,M04,471
data/assayplate_3765/AssayPlate_Corning_3765_H14_T0001F001L01A01Z01C01.tif,H14,725
data/assayplate_3765/AssayPlate_Corning_3765_C19_T0001F001L01A01Z01C01.tif,C19,1313
data/assayplate_3765/AssayPlate_Corning_3765_D01_T0001F001L01A01Z01C01.tif,D01,1061
data/assayplate_3765/AssayPlate_Corning_3765_G15_T0001F001L01A01Z01C01.tif,G15,930
data/assayplate_3765/AssayPlate_Corning_3765_K04_T0001F001L01A01Z01C01.tif,K04,465
data/assayplate_3765/AssayPlate_Corning_3765_N02_T0001F001L01A01Z01C01.tif,N02,644
data/assayplate_3765/AssayPlate_Corning_3765_K12_T0001F001L01A01Z01C01.tif,K12,756
data/assayplate_3765/AssayPlate_Corning_3765_C07_T0001F001L01A01Z01C01.tif,C07,1442
data/assayplate_3765/AssayPlate_Corning_3765_B17_T0001F001L01A01Z01C01.tif,B17,1244
data/assayplate_3765/AssayPlate_Corning_3765_N16_T0001F001L01A01Z01C01.tif,N16,632
data/assayplate_3765/AssayPlate_Corning_3765_P22_T0001F001L01A01Z01C01.tif,P22,450
data/assayplate_3765/AssayPlate_Corning_3765_D16_T0001F001L01A01Z01C01.tif,D16,1326
data/assayplate_3765/AssayPlate_Corning_3765_J11_T0001F001L01A01Z01C01.tif,J11,636
data/assayplate_3765/AssayPlate_Corning_3765_E20_T0001F001L01A01Z01C01.tif,E20,919
data/assayplate_3765/AssayPlate_Corning_3765_M23_T0001F001L01A01Z01C01.tif,M23,677
data/assayplate_3765/AssayPlate_Corning_3765_K02_T0001F001L01A01Z01C01.tif,K02,896
data/assayplate_3765/AssayPlate_Corning_3765_L10_T0001F001L01A01Z01C01.tif,L10,654
data/assayplate_3765/AssayPlate_Corning_3765_H09_T0001F001L01A01Z01C01.tif,H09,1544
data/assayplate_3765/AssayPlate_Corning_3765_M16_T0001F001L01A01Z01C01.tif,M16,690
data/assayplate_3765/AssayPlate_Corning_3765_E12_T0001F001L01A01Z01C01.tif,E12,1321
data/assayplate_3765/AssayPlate_Corning_3765_A08_T0001F001L01A01Z01C01.tif,A08,1109
data/assayplate_3765/AssayPlate_Corning_3765_G09_T0001F001L01A01Z01C01.tif,G09,1200
data/assayplate_3765/AssayPlate_Corning_3765_B08_T0001F001L01A01Z01C01.tif,B08,1622
data/assayplate_3765/AssayPlate_Corning_3765_H24_T0001F001L01A01Z01C01.tif,H24,1027
data/assayplate_3765/AssayPlate_Corning_3765_M05_T0001F001L01A01Z01C01.tif,M05,373
data/assayplate_3765/AssayPlate_Corning_3765_D13_T0001F001L01A01Z01C01.tif,D13,1303
data/assayplate_3765/AssayPlate_Corning_3765_G10_T0001F001L01A01Z01C01.tif,G10,1001
data/assayplate_3765/AssayPlate_Corning_3765_E02_T0001F001L01A01Z01C01.tif,E02,1034
data/assayplate_3765/AssayPlate_Corning_3765_E18_T0001F001L01A01Z01C01.tif,E18,1607
data/assayplate_3765/AssayPlate_Corning_3765_M17_T0001F001L01A01Z01C01.tif,M17,988
data/assayplate_3765/AssayPlate_Corning_3765_N24_T0001F001L01A01Z01C01.tif,N24,657
data/assayplate_3765/AssayPlate_Corning_3765_N07_T0001F001L01A01Z01C01.tif,N07,854
data/assayplate_3765/AssayPlate_Corning_3765_L24_T0001F001L01A01Z01C01.tif,L24,797
data/assayplate_3765/AssayPlate_Corning_3765_F12_T0001F001L01A01Z01C01.tif,F12,1022
data/assayplate_3765/AssayPlate_Corning_3765_G16_T0001F001L01A01Z01C01.tif,G16,1126
data/assayplate_3765/AssayPlate_Corning_3765_L17_T0001F001L01A01Z01C01.tif,L17,1022
data/assayplate_3765/AssayPlate_Corning_3765_B24_T0001F001L01A01Z01C01.tif,B24,837
data/assayplate_3765/AssayPlate_Corning_3765_J05_T0001F001L01A01Z01C01.tif,J05,454
data/assayplate_3765/AssayPlate_Corning_3765_L01_T0001F001L01A01Z01C01.tif,L01,1047
data/assayplate_3765/AssayPlate_Corning_3765_J14_T0001F001L01A01Z01C01.tif,J14,559
data/assayplate_3765/AssayPlate_Corning_3765_E22_T0001F001L01A01Z01C01.tif,E22,662
data/assayplate_3765/AssayPlate_Corning_3765_K22_T0001F001L01A01Z01C01.tif,K22,640
data/assayplate_3765/AssayPlate_Corning_3765_P05_T0001F001L01A01Z01C01.tif,P05,447
data/assayplate_3765/AssayPlate_Corning_3765_G06_T0001F001L01A01Z01C01.tif,G06,894
data/assayplate_3765/AssayPlate_Corning_3765_O06_T0001F001L01A01Z01C01.tif,O06,329
data/assayplate_3765/AssayPlate_Corning_3765_J07_T0001F001L01A01Z01C01.tif,J07,1125
data/assayplate_3765/AssayPlate_Corning_3765_K20_T0001F001L01A01Z01C01.tif,K20,411
data/assayplate_3765/AssayPlate_Corning_3765_N18_T0001F001L01A01Z01C01.tif,N18,801
data/assayplate_3765/AssayPlate_Corning_3765_B18_T0001F001L01A01Z01C01.tif,B18,1316
data/assayplate_3765/AssayPlate_Corning_3765_J18_T0001F001L01A01Z01C01.tif,J18,992
data/assayplate_3765/AssayPlate_Corning_3765_B01_T0001F001L01A01Z01C01.tif,B01,1465
data/assayplate_3765/AssayPlate_Corning_3765_A17_T0001F001L01A01Z01C01.tif,A17,1175
data/assayplate_3765/AssayPlate_Corning_3765_J10_T0001F001L01A01Z01C01.tif,J10,713
data/assayplate_3765/AssayPlate_Corning_3765_E04_T0001F001L01A01Z01C01.tif,E04,735
data/assayplate_3765/AssayPlate_Corning_3765_A12_T0001F001L01A01Z01C01.tif,A12,1020
data/assayplate_3765/AssayPlate_Corning_3765_B20_T0001F001L01A01Z01C01.tif,B20,1176
data/assayplate_3765/AssayPlate_Corning_3765_L18_T0001F001L01A01Z01C01.tif,L18,949
data/assayplate_3765/AssayPlate_Corning_3765_N01_T0001F001L01A01Z01C01.tif,N01,897
